month,sun,precipitation
"""Jan""",135,2.05
"""Feb""",136,1.93
"""Mar""",187,2.72
"""Apr""",215,3.62
"""May""",281,4.13
"""Jun""",311,4.06
"""Jul""",318,4.02
"""Aug""",283,3.98
"""Sep""",226,3.31
"""Oct""",193,3.23
"""Nov""",113,3.43
"""Dec""",106,2.56
