month,sun,precipitation
Jan,69,5.55
Feb,108,3.46
Mar,178,3.7
Apr,207,2.68
May,253,1.93
Jun,268,1.54
Jul,312,0.67
Aug,281,0.87
Sep,221,1.42
Oct,142,3.46
Nov,72,6.54
Dec,52,5.31
