month,sun,precipitation
"""Jan""",222,1.62
"""Feb""",227,2.25
"""Mar""",266,3
"""Apr""",275,3.14
"""May""",280,5.34
"""Jun""",251,9.67
"""Jul""",267,6.5
"""Aug""",263,8.88
"""Sep""",216,9.86
"""Oct""",215,6.33
"""Nov""",212,3.27
"""Dec""",209,2.04
