month,sun,precipitation
Jan,144,3.7
Feb,141,3.23
Mar,193,2.4
Apr,212,3.43
May,266,4.45
Jun,298,3.82
Jul,294,5.16
Aug,281,3.54
Sep,238,3.82
Oct,239,3.58
Nov,181,4.06
Dec,146,4.09
