month,sun,precipitation
"""Jan""",165,4.5
"""Feb""",182,4.46
"""Mar""",251,3.26
"""Apr""",281,1.46
"""May""",314,0.7
"""Jun""",330,0.16
"""Jul""",300,0.01
"""Aug""",272,0.06
"""Sep""",267,0.21
"""Oct""",243,1.12
"""Nov""",189,3.16
"""Dec""",156,4.56
